DATE    |OPEN  |LOW   |HI    |CLOSE |VOLUME |EMA13   |EMA26
20100611|241.01|240.57|244.11|244.01|3826676|243.9352|285.132
20100610|239.94|237.68|244.01|243.26|3826676|243.9228|286.0235
20100609|243.37|235.76|244.2|236.77|3826676|244.0332|286.933
20100608|243.68|238.53|244.18|242.15|3826676|245.2438|287.5052
20100607|249.28|241.33|250.2|242.52|3826676|245.7594|287.4724
20100604|249.61|248.1|254.37|249.11|3826676|246.2993|287.1336
20100603|247.31|247.1|253.75|252.55|3826676|245.8309|287.4032
20100602|243.1|240.49|246.69|246.44|3826676|244.711|287.9986
20100601|239.97|239.82|245.28|240.94|3826676|244.4229|288.8531
20100528|246.12|241.26|246.48|242.57|3826676|245.0033|290.1554
20100527|242.19|240.28|245.91|244.98|3826676|245.4089|291.3185
20100526|240.79|237.26|244.64|237.5|3826676|245.4804|292.6756
20100525|233.84|231.77|238.49|238.3|3826676|246.8104|293.8441
20100524|240.12|238.16|244.65|238.34|3826676|248.2288|294.511
20100521|234.3|231.97|242.26|235.79|3826676|249.877|294.9772
20100520|242.29|236.66|242.55|237.27|3826676|252.2248|294.8799
20100519|247.88|243.63|249.47|246.97|3826676|254.7173|294.814
20100518|254.74|248.29|255.23|248.94|3826676|256.0085|295.165
20100517|253.14|248.93|253.93|253.73|3826676|257.1866|295.7455
20100514|254.63|247.88|255.24|253.51|3826676|257.7627|297.0284
20100513|257.99|254.93|260.74|255.18|3826676|258.4714|299.0071
20100512|255.76|250.75|255.76|252.44|3826676|259.02|301.1047
20100511|257.58|253.86|259.68|254.27|3826676|260.1167|303.3543
20100510|256.73|256.04|261.15|260.56|3826676|261.0911|305.9745
20100507|249.74|240.42|252.41|246.32|3826676|261.1797|308.7914
20100506|254.12|229.77|258.5|249.09|3826676|263.6563|311.4121
20100505|250.24|249.98|257.6|254.63|3826676|266.084|313.2288
20100504|263.0|251.85|263.11|252.93|3826676|267.993|314.3934
20100503|262.99|262.28|266.19|265.03|3826676|270.5035|315.8664
20100430|265.3|262.46|268.57|262.58|3826676|271.4157|317.9107
20100429|266.42|263.07|267.98|265.73|3826676|272.8884|320.0626
20100428|265.78|260.25|267.15|264.33|3826676|274.0814|321.4778
20100427|264.21|263.35|268.9|264.26|3826676|275.7066|322.3027
20100426|272.21|264.34|272.22|265.55|3826676|277.6144|323.3526
20100423|273.35|270.86|274.39|272.22|3826676|279.6252|324.5598
20100422|275.72|271.4|275.97|273.26|3826676|280.8593|326.1376
20100421|277.95|275.8|279.84|276.87|3826676|282.1259|327.6449
20100420|276.81|275.25|279.55|277.24|3826676|283.0019|328.8005
20100419|274.1|272.23|276.72|274.77|3826676|283.9622|330.1747
20100416|281.22|274.54|284.12|274.8|3826676|285.4942|331.8089
20100415|295.79|293.85|298.62|297.35|3826676|287.2766|333.6376
20100414|294.73|291.71|295.87|294.21|3826676|285.5977|335.7791
20100413|285.98|285.28|294.15|293.09|3826676|284.1623|337.5723
20100412|283.39|282.83|286.71|286.08|3826676|282.6744|338.5409
20100409|283.72|281.72|284.1|282.83|3826676|282.1068|339.3413
20100408|281.38|279.74|284.64|283.46|3826676|281.9863|340.1105
20100407|283.37|280.65|284.09|281.49|3826676|281.7406|340.6074
20100406|284.45|282.42|285.16|283.83|3826676|281.7824|341.067
20100405|285.16|284.22|287.15|285.22|3826676|281.4411|341.913
20100331|282.24|281.12|284.59|283.28|3826676|280.8113|342.8535
20100330|281.13|279.86|283.53|283.07|3826676|280.3999|343.6347
20100329|281.22|280.0|282.08|280.94|3826676|279.9549|344.4887
20100326|282.35|279.73|283.41|281.06|3826676|279.7907|345.7814
20100325|279.23|279.05|285.71|281.16|3826676|279.5791|347.3744
20100324|272.48|269.58|279.64|278.39|3826676|279.3157|348.4564
20100323|278.24|270.73|278.88|274.23|3826676|279.4699|349.5073
20100322|277.78|276.86|283.14|278.47|3826676|280.3433|350.8702
20100319|282.83|278.36|283.72|279.72|3826676|280.6555|352.4745
20100318|282.08|281.2|283.94|282.92|3826676|280.8114|354.5331
20100317|283.87|281.84|285.44|282.5|3826676|280.4599|356.2017
20100316|280.63|280.1|283.93|282.32|3826676|280.1199|357.0722
20100315|283.06|277.72|284.44|281.31|3826676|279.7532|358.0116
20100312|293.78|289.29|293.84|289.48|3826676|279.4938|359.6821
20100311|286.84|286.81|292.81|290.28|3826676|277.8294|362.0524
20100310|281.6|280.82|288.96|287.94|3826676|275.7543|364.2677
20100309|279.65|277.97|282.05|279.81|3826676|273.7234|366.052
20100308|282.11|280.22|282.31|280.96|3826676|272.7089|367.9639
20100305|280.39|279.67|283.55|281.82|3826676|271.3338|369.8498
20100304|272.98|272.83|277.79|277.02|3826676|269.5861|371.323
20100303|270.91|269.36|273.79|272.39|3826676|268.3471|372.619
20100302|267.47|267.24|272.56|270.26|3826676|267.6732|373.8696
20100301|264.34|263.61|266.38|266.08|3826676|267.2421|374.4591
20100226|263.45|261.48|265.61|263.14|3826676|267.4358|374.491
20100225|263.3|259.74|263.98|262.95|3826676|268.1518|374.3666
20100224|266.93|264.99|268.95|265.47|3826676|269.0187|373.915
20100223|271.23|265.88|271.54|267.27|3826676|269.6102|373.3368
20100222|273.4|270.23|273.48|271.13|3826676|270.0002|372.4577
20100219|270.23|269.58|271.74|270.11|3826676|269.8119|371.309
20100218|268.5|267.8|272.23|271.34|3826676|269.7622|369.9557
20100217|270.73|268.54|271.43|268.83|3826676|269.4993|367.9179
20100216|268.3|266.88|271.79|270.38|3826676|269.6108|365.3178
20100212|266.22|264.98|268.31|266.29|3826676|269.4826|362.6943
20100211|265.86|264.49|269.97|267.93|3826676|270.0147|360.6071
20100210|266.77|263.58|268.63|266.96|3826676|270.3621|358.7471
