DATE    ,OPEN  ,LOW   ,HI    
20120712,283.28,280.76,285.68
20120711,287.86,282.19,288.64
20120710,294.8,289.08,295.92
20120709,292.18,290.33,294.01
20120706,295.93,291.12,296.46
20120705,294.09,293.98,299.73
20120703,289.71,288.71,293.91
20120702,290.62,287.96,291.21
20120629,287.19,285.81,289.77
20120628,282.67,278.33,282.83
20120627,283.57,282.73,286.71
20120626,281.1,279.46,283.02
20120625,283.38,278.4,283.76
20120622,283.72,282.63,285.45
20120621,289.63,281.58,289.63
20120620,289.62,286.47,289.71
20120619,286.51,286.27,291.85
20120618,281.03,279.35,286.82
20120615,279.89,278.27,281.98
20120614,280.37,277.98,282.25
20120613,280.58,279.06,283.22
20120612,284.6,279.01,284.86
20120611,291.81,283.06,292.37
20120608,287.64,287,290.21
20120607,293.51,288.34,293.65
20120606,287.95,286.52,290.69
20120605,287.44,282.95,288.78
20120604,284.82,284.72,289.95
20120601,285.61,283.89,286.04
20120531,294.07,289.21,294.7
20120530,293.79,291.47,295.65
20120529,297.61,293.87,299.27
20120525,300.2,293.85,300.56
20120524,304.28,299.14,305.65
20120523,300.52,298.26,304.5
20120522,306.41,297.7,306.6
20120521,299.96,299.7,307.54
20120518,312.24,298.05,315.89
20120517,316.6,310.3,318.61
20120516,308.67,307.66,314.73
20120515,302.37,301.57,307.19
20120514,300.09,299.99,303.95
20120511,304.87,302.08,306.97
20120510,306.17,304.81,307.79
20120509,303.11,300.6,307.88
20120508,302.46,300.05,308.14
20120507,297.2,297.2,304.98
20120504,302.66,298.11,303.64
20120503,304.51,304.17,307.11
20120502,300.3,300,303.75
20120501,301.59,299.79,305.49
20120430,306.19,300,307.73
20120427,307.2,304.99,308.06
20120426,305.15,304.55,308.69
20120425,301.7,301.14,305.37
20120424,298.82,298.36,303.01
20120423,296.15,294.8,298.93
20120420,301.82,297.62,304.12
20120419,302.54,299.2,307.82
20120418,303.72,301.1,306.09
20120417,303.98,303.2,308.54
20120416,311.19,300.53,311.59
20120413,323.45,311.46,324.17
20120412,320.85,319.81,326.24
20120411,316.67,315.33,317.68
20120410,316.44,311.96,316.93
20120409,313.93,312.33,317.35
20120405,315.8,313.97,317.9
20120404,318.91,315.23,319.18
20120403,322.38,319,323.65
20120402,320.06,317.1,323.43
20120330,325.55,320.18,326.42
20120329,326.39,321.83,327.97
20120328,325.69,325.21,328.96
20120327,323.19,322.08,326.42
20120326,322.18,319.45,324.42
20120323,322.98,320.13,323.93
20120322,318.93,315.18,324.08
20120321,316.99,315.94,323.37
20120320,315.14,313.32,317.71
20120319,311.25,310.31,318.32
20120316,310.14,309.72,312.64
